query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND t.phonetic_code<=9762 AND t.season_nr=4.0 AND t.episode_nr>=6.0 AND mi.info_type_id=6 AND mc.company_type_id=1;",2220.0121401096035,3245,26.206761598587036,0,0.0
1,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=2 AND t.kind_id=7 AND t.phonetic_code=6242;",2.5390070000000007,945,24.031471461057663,0,0.0
2,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=63 AND t.production_year=1972.0 AND t.phonetic_code=5904 AND t.kind_id=1 AND mi_idx.info_type_id=101;",2.5390070000000007,264,33.06904435157776,0,0.0
3,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND t.production_year<=1998.0 AND mi_idx.info_type_id=100 AND mc.company_type_id=1;",15515019.404172247,18875160,27.679938822984695,0,0.0
4,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND t.kind_id=1 AND t.production_year>=2008.0 AND mi_idx.info_type_id=101;",6176745.83205111,7316806,26.826582849025726,0,0.0
5,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year=2000.0 AND t.kind_id=1 AND mc.company_type_id=1 AND t.phonetic_code<=2338 AND mi.info_type_id=13 AND mi_idx.info_type_id=101;",13699.302420169457,12548,29.46263551712036,0,0.0
6,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code<=11766 AND mc.company_type_id=1 AND t.kind_id=1 AND mi_idx.info_type_id=100;",20376216.456082042,22447677,23.87150377035141,0,0.0
7,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=2009.0 AND mi_idx.info_type_id=100 AND t.kind_id=1;",87999.23187703553,7513305,24.1745226085186,0,0.0
8,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=16 AND t.production_year=2010.0 AND mc.company_type_id=1 AND mi_idx.info_type_id=100 AND t.phonetic_code=11288 AND t.kind_id=1;",2.5390070000000007,1495,32.620783895254135,0,0.0
9,"SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=15 AND t.season_nr=1.0 AND t.kind_id=7;",601257.0758937721,763746,22.56620302796364,0,0.0
