auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,=,47491,t2.is_active,=,1#6
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,35650,t2.is_active,=,1#32358
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,84837,t2.is_active,=,1#73035
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,73922,t2.is_active,<,1#3432
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,84837,t2.is_active,=,1#8268
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,7136,t2.is_active,<,1#3910
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,35087,t2.is_active,=,1#31895
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,84307,t2.is_active,=,1#8810
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,16421,t2.is_active,<,1#3300
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,2473,t2.is_active,=,1#78231
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,24041,t2.is_active,=,1#22900
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,70011,t2.is_active,<,1#1070
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,13989,t2.is_active,<,1#904
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,75987,t2.is_active,<,1#3535
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,72915,t2.is_active,<,1#950
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,47491,t2.is_active,<,1#1814
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,84307,t2.is_active,<,1#416
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,108651,t2.is_active,<,1#4334
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,64244,t2.is_active,=,1#53847
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,7445,t2.is_active,=,1#72806
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,3451,t2.is_active,=,1#77148
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,=,14021,t2.is_active,=,1#2
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,<,114809,t2.is_active,=,1#81303
auth_user t1,student_courseenrollment t2#t1.id=t2.user_id#t1.id_copy,>,86666,t2.is_active,<,1#320
