title t##t.production_year,>,1995,t.phonetic_code,>,8120#609919
title t##t.production_year,>,1982,t.phonetic_code,>,4155#947550
title t##t.production_year,<,1975,t.phonetic_code,>,6493#248900
title t##t.production_year,>,1980,t.phonetic_code,=,3636#797
title t##t.production_year,=,1982,t.phonetic_code,=,11767#6
title t##t.production_year,<,2010,t.phonetic_code,<,846#76580
title t##t.production_year,=,2006,t.phonetic_code,>,12936#25896
title t##t.production_year,=,1930,t.phonetic_code,>,572#2457
title t##t.production_year,<,1965,t.phonetic_code,>,1069#259985
title t##t.production_year,<,1998,t.phonetic_code,=,1906#31
title t##t.production_year,<,2002,t.phonetic_code,=,14087#211
title t##t.production_year,>,1962,t.phonetic_code,>,1358#1376109
title t##t.production_year,=,1979,t.phonetic_code,<,2680#1937
title t##t.production_year,>,1966,t.phonetic_code,<,513#46825
title t##t.production_year,>,1956,t.phonetic_code,<,8968#699781
title t##t.production_year,<,2006,t.phonetic_code,>,16252#272574
title t##t.production_year,<,1995,t.phonetic_code,<,18126#592324
title t##t.production_year,<,1957,t.phonetic_code,=,730#15
title t##t.production_year,=,1998,t.phonetic_code,>,19801#1647
title t##t.production_year,>,1997,t.phonetic_code,=,14401#1655
title t##t.production_year,<,1995,t.phonetic_code,=,2440#153
title t##t.production_year,<,1986,t.phonetic_code,>,3427#400288
title t##t.production_year,>,1926,t.phonetic_code,>,3632#1257569
title t##t.production_year,<,2009,t.phonetic_code,=,17695#127
title t##t.production_year,<,1954,t.phonetic_code,<,15964#134221
title t##t.production_year,=,1997,t.phonetic_code,<,846#1671
title t##t.production_year,=,1998,t.phonetic_code,>,7352#17350
title t##t.production_year,<,1943,t.phonetic_code,<,7413#60045
title t##t.production_year,<,1974,t.phonetic_code,<,136#2420
title t##t.production_year,>,1967,t.phonetic_code,=,7019#88
title t##t.production_year,<,1999,t.phonetic_code,=,3015#189
title t##t.production_year,=,1992,t.phonetic_code,=,17256#1
title t##t.production_year,>,1998,t.phonetic_code,>,1493#892868
title t##t.production_year,<,1986,t.phonetic_code,<,13392#324906
title t##t.production_year,>,1965,t.phonetic_code,=,6242#209
title t##t.production_year,>,2008,t.phonetic_code,=,14784#148
title t##t.production_year,<,2009,t.phonetic_code,=,18960#539
title t##t.production_year,<,2000,t.phonetic_code,<,2665#140584
title t##t.production_year,=,1984,t.phonetic_code,>,13942#4483
title t##t.production_year,<,1941,t.phonetic_code,>,5936#97033
title t##t.production_year,>,1930,t.phonetic_code,=,14529#123
title t##t.production_year,<,2011,t.phonetic_code,>,14123#503791
title t##t.production_year,<,1996,t.phonetic_code,<,1517#67684
title t##t.production_year,>,1999,t.phonetic_code,>,16664#215973
title t##t.production_year,=,1981,t.phonetic_code,>,16253#2828
title t##t.production_year,=,1951,t.phonetic_code,<,16664#3366
title t##t.production_year,=,1960,t.phonetic_code,>,15231#2816
title t##t.production_year,>,1971,t.phonetic_code,>,12804#529724
title t##t.production_year,<,1954,t.phonetic_code,=,17291#46
title t##t.production_year,<,1983,t.phonetic_code,>,6284#313892
title t##t.production_year,=,1987,t.phonetic_code,>,9919#8186
title t##t.production_year,=,1964,t.phonetic_code,>,664#9033
title t##t.production_year,>,1983,t.phonetic_code,>,17328#189112
title t##t.production_year,>,2000,t.phonetic_code,>,2065#798799
title t##t.production_year,>,1903,t.phonetic_code,=,3668#121
title t##t.production_year,=,2003,t.phonetic_code,=,6459#28
title t##t.production_year,<,1943,t.phonetic_code,>,4861#108177
